"Код 
исследования",Наименование исследования,Используемый  материал,Результат исследования,Срок* (рабочие дни) ,Возможность срочного выполнения,Цена,Описание,Подготовка,Клиническая информация,Интерпритация результатов
"40,295","Стероидный профиль мочи (комплексный анализ на 17КС: (андростерон, андростендион, этиоанолон, дегидроэпиандростерон,  эпиандростерон) (метод  ВЭЖХ, ВЭЖХ-МС)",моча суточная,кол,7,,"4700,00",,,,
,ГОРМОНАЛЬНЫЕ ИССЛЕДОВАНИЯ,,,,,,,,,
,Щитовидная железа,,,,,,,,,
"28,100",Общий Т3  ©,кровь (сыворотка),кол,1,,"400,00",,,,
"28,105",Свободный Т3  ©,кровь (сыворотка),кол,1,,"390,00",,,,
"28,108",Т3 Реверсивный,кровь (сыворотка),кол,7,,"7500,00",,,,
"28,110",Общий Т4  ©,кровь (сыворотка),кол,1,,"390,00",,,,
"28,115",Свободный Т4  ©,кровь (сыворотка),кол,1,,"390,00",,,,
"28,120",Тиреотропный гормон (ТТГ)  ©,кровь (сыворотка),кол,1,,"370,00",,,,
"28,125",Тиреоглобулин (ТГ) ©,кровь (сыворотка),кол,1,,"670,00",,,,
"28,130",Антитела к тиреоглобулину (АТ- ТГ)  ©,кровь (сыворотка),кол,1,,"470,00",,,,
"28,135",Антитела к тиреопероксидазе (АТ-ТПО)  ©,кровь (сыворотка),кол,1,,"470,00",,,,
"28,155",T-Uptake (тест поглощения  тиреоидных гормонов),кровь (сыворотка),кол,9,,"900,00",,,,
"28,160","Интегральный тиреоидный индекс (Т3 свободный, Т4 свободный, Тиреотропный гормон (ТТГ), Интегральный тиреоидный индекс)",кровь (сыворотка),кол,1,,"770,00",,,,
"28,165","Индекс периферической конверсии (Т3 свободный, Т4 свободный, Индекс периферической конверсии)",кровь (сыворотка),кол,1,,"650,00",,,,
,Половые гормоны,,,,,,,,,
"29,100",Лютеинизирующий гормон (ЛГ)  ©,кровь (сыворотка),кол,1,,"380,00",,,,
"29,105",Фолликулостимулирующий гормон (ФСГ)  ©,кровь (сыворотка),кол,1,,"380,00",,,,
"29,110",Пролактин  ©,кровь (сыворотка),кол,1,,"370,00",,,,
"29,111",Макропролактин (включает определение пролактина),кровь (сыворотка),кол,2,,"1100,00",,,,
"29,115",Прогестерон  ©,кровь (сыворотка),кол,1,,"380,00",,,,
"29,120",Эстрадиол  ©,кровь (сыворотка),кол,1,,"380,00",,,,
"29,125",Эстриол свободный ©,кровь (сыворотка),кол,3,,"900,00",,,,
"29,130",Тестостерон  ©,кровь (сыворотка),кол,1,,"360,00",,,,
"29,135",Тестостерон свободный,кровь (сыворотка),кол,5,,"980,00",,,,
"29,140",Дигидротестостерон,кровь (сыворотка),кол,3,,"1200,00",,,,
"29,145",Хорионический гонадотропин (общий В-ХГЧ)  ©,кровь (сыворотка),кол,1,,"400,00",,,,
"29,150",Свободная субъединица хорионического гонадотропина (свободный В-ХГЧ)©,кровь (сыворотка),кол,3,,"1200,00",,,,
"29,155",Плацентарный лактоген,кровь (сыворотка),кол,9,,"900,00",,,,
"29,160",Ассоциированный с беременностью плазменный белок А (РАРР-А)©,кровь (сыворотка),кол,1,,"700,00",,,,
"29,165",17-ОН-прогестерон,кровь (сыворотка),кол,3,,"720,00",,,,
"29,170","Глобулин, связывающий половые гормоны (ГСПГ)",кровь (сыворотка),кол,1,,"680,00",,,,
"29,180",Антимюллеров гормон,кровь (сыворотка),кол,4,,"1530,00",,,,
"29,185",Ингибин В,кровь (сыворотка),кол,10,,"1700,00",,,,
"29,190",Трофобластный гормон,кровь (сыворотка),кол,7,,"810,00",,,,
"29,195","Плацентарный фактор роста (Placental growth factor, PlGF)",кровь (сыворотка),кол,5,,"2400,00",,,,
"29,196",sFlt-1 (растворимая fms‑подобная тирозинкиназа‑1),кровь (сыворотка),кол,5,,"2000,00",,,,
"29,197","Маркеры риска преэклампсии: sFlt-1, PlGF, соотношение sFlt-1/PlGF : Плацентарный фактор роста (Placental growth factor, PlGF); sFlt-1 (растворимая fms‑подобная тирозинкиназа‑1); Маркеры риска преэклампсии: sFlt-1, PlGF, соотношение sFlt-1/PlGF",кровь (сыворотка),кол,5,,"4050,00",,,,
